,Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Genre,Language,Runtime,Color Palette,GenreNames,LanguageName,Palette Cluster,PCA1,PCA2
39,2024-08-18,Alien: Romulus,2024.0,https://boxd.it/77QAGb,3.0,,"seb, in theaters, james, james's entire family",2024-08-17,"[27, 878]",en,119,"[225, 47, 40, 122, 18, 15, 101, 13, 12]","['Horror', 'Science Fiction']",English,1,-113.69611827202343,129.73115959488396
40,2024-09-03,In the Mood for Love,2000.0,https://boxd.it/7ff8An,4.0,,"daisy, scropps",2024-09-02,"[18, 10749]",cn,98,"[186, 102, 57, 182, 29, 36, 151, 22, 27]","['Drama', 'Romance']",Cantonese,1,-46.64076706683471,146.82878420453684
41,2024-09-03,Blink Twice,2024.0,https://boxd.it/7ftGAT,2.0,,"in theaters, scropps",2024-09-02,"[9648, 53]",en,102,"[207, 162, 95, 56, 29, 16, 1, 0, 0]","['Mystery', 'Thriller']",English,3,-106.43906255931486,18.45534535057368
42,2024-09-06,Parasite,2019.0,https://boxd.it/7gGmgf,5.0,,"daisy, scropps",2024-09-05,"[35, 53, 18]",ko,133,"[149, 190, 168, 73, 133, 92, 23, 46, 43]","['Comedy', 'Thriller', 'Drama']",Korean,6,22.402166229812337,-58.132902920899475
43,2024-09-07,Beetlejuice Beetlejuice,2024.0,https://boxd.it/7h3OXR,2.5,,"aimee, scropps, in theaters",2024-09-06,"[35, 14, 27]",en,105,"[125, 127, 117, 24, 57, 85, 5, 24, 40]","['Comedy', 'Fantasy', 'Horror']",English,3,-89.45847586311905,-69.17270666028983
44,2024-09-14,The Handmaiden,2016.0,https://boxd.it/7k9hDX,5.0,,"scropps, daisy",2024-09-13,"[53, 18, 10749]",ko,145,"[198, 190, 183, 65, 58, 64, 3, 3, 7]","['Thriller', 'Drama', 'Romance']",Korean,3,-29.06111236919992,-42.80659416109735
45,2024-09-16,Pearl,2022.0,https://boxd.it/7li0DN,4.0,Yes,scropps,2024-09-16,"[27, 53]",en,102,"[167, 144, 127, 171, 41, 33, 72, 12, 12]","['Horror', 'Thriller']",English,1,-36.89437141662086,74.24744235470308
46,2024-10-02,Beetlejuice,1988.0,https://boxd.it/7sdFxJ,4.0,,"scropps, alone</3",2024-10-01,"[14, 35]",en,92,"[169, 155, 164, 49, 62, 99, 13, 21, 33]","['Fantasy', 'Comedy']",English,3,-33.541001125473485,-65.39055961459897
47,2024-10-03,Over the Garden Wall,2014.0,https://boxd.it/7sEAqH,5.0,,"elle, scropps",2024-10-02,[],en,150,"[232, 204, 148, 157, 131, 91, 30, 22, 17]",[],English,6,64.76611804723638,36.13284566436122
48,2024-10-10,X,2022.0,https://boxd.it/7vSOWR,4.5,Yes,"scropps, emma",2024-10-08,"[27, 53]",en,106,"[158, 100, 79, 92, 43, 31, 30, 16, 13]","['Horror', 'Thriller']",English,4,-109.13207196263852,36.51537543678591
49,2024-10-13,Let It Shine,2012.0,https://boxd.it/7xwjil,4.0,,"scropps, emma",2024-10-12,"[10751, 10402, 10770]",en,104,"[225, 166, 102, 149, 69, 44, 42, 12, 49]","['Family', 'Music', 'TV Movie']",English,6,-10.707968134342025,70.620187792716
50,2024-10-20,The Wild Robot,2024.0,https://boxd.it/7B5dCh,3.0,,"scropps, in theaters, emma",2024-10-19,"[16, 878, 10751, 18]",en,102,"[115, 97, 50, 40, 40, 35, 22, 21, 23]","['Animation', 'Science Fiction', 'Family', 'Drama']",English,4,-149.75015613677937,-0.6921855999434037
51,2024-10-25,Fear Street: 1994,2021.0,https://boxd.it/7DDyBP,4.0,,"scropps, daisy",2024-10-24,"[27, 9648]",en,108,"[70, 65, 135, 49, 14, 76, 29, 3, 39]","['Horror', 'Mystery']",English,4,-134.65728088352492,-65.82279292694412
52,2024-10-29,Showgirls,1995.0,https://boxd.it/7FT5S3,4.0,,"aimee, paris, scropps, claire",2024-10-29,[18],en,131,"[126, 91, 84, 53, 12, 20, 55, 10, 18]",['Drama'],English,4,-147.29688324900405,12.621834753482545
53,2024-11-04,Beetlejuice,1988.0,https://boxd.it/7ILoXx,4.0,Yes,"scropps, emma",2024-11-02,"[14, 35]",en,92,"[169, 155, 164, 49, 62, 99, 13, 21, 33]","['Fantasy', 'Comedy']",English,3,-33.541001125473485,-65.39055961459897
54,2024-11-17,Anora,2024.0,https://boxd.it/7PmthT,4.5,,"paris, claire, scropps, in theaters",2024-11-16,"[18, 35, 10749]",en,139,"[229, 199, 196, 178, 97, 97, 86, 39, 57]","['Drama', 'Comedy', 'Romance']",English,6,98.42417232839233,34.54998868578578
55,2024-11-26,Last Night in Soho,2021.0,https://boxd.it/7U7U8p,3.0,Yes,"scropps, tay",2024-11-25,"[27, 9648]",en,116,"[122, 136, 185, 60, 47, 98, 21, 20, 45]","['Horror', 'Mystery']",English,3,-45.72562500381565,-82.68615794806118
56,2024-11-29,Woman of the Hour,2023.0,https://boxd.it/7VxUt9,2.5,,"seb, alone</3",2024-11-29,"[80, 18, 53]",en,95,"[203, 140, 96, 57, 36, 31, 12, 10, 10]","['Crime', 'Drama', 'Thriller']",English,3,-98.21918414686851,14.72410606988197
57,2024-12-13,The Substance,2024.0,https://boxd.it/82tX9L,3.5,,"seb, alone</3",2024-12-12,"[18, 27, 878]",en,141,"[239, 238, 243, 213, 212, 218, 164, 156, 160]","['Drama', 'Horror', 'Science Fiction']",English,2,313.78172919432956,-5.203785151457389
58,2024-12-16,Blow-Up,1966.0,https://boxd.it/849nOV,3.0,,"seb, alone</3",2024-12-15,"[18, 9648, 53]",en,111,"[243, 240, 221, 241, 242, 221, 230, 86, 85]","['Drama', 'Mystery', 'Thriller']",English,2,318.2545604535681,57.4494488442276
59,2024-12-16,Red Rooms,2023.0,https://boxd.it/84eL43,4.5,,"seb, alone</3",2024-12-15,"[53, 80]",fr,118,"[162, 83, 50, 75, 38, 30, 33, 20, 18]","['Thriller', 'Crime']",French,4,-130.25736305898533,43.42656988287242
60,2024-12-17,Priscilla,2023.0,https://boxd.it/84LcKT,3.0,,"seb, alone</3",2024-12-16,"[18, 10749, 10402]",en,113,"[189, 191, 184, 94, 78, 65, 43, 38, 31]","['Drama', 'Romance', 'Music']",English,6,11.042576153079438,-20.32654229794963
61,2024-12-18,Over the Garden Wall,2014.0,https://boxd.it/85f45N,5.0,Yes,"seb, rachel",2024-12-17,[],en,150,"[232, 204, 148, 157, 131, 91, 30, 22, 17]",[],English,6,64.76611804723638,36.13284566436122
62,2024-12-18,I Saw the TV Glow,2024.0,https://boxd.it/85iw4p,5.0,,"seb, alone</3",2024-12-18,"[18, 27, 14]",en,100,"[109, 51, 98, 16, 2, 8, 6, 0, 3]","['Drama', 'Horror', 'Fantasy']",English,4,-201.71905108331077,-28.830853386759028
63,2024-12-19,We're All Going to the World's Fair,2021.0,https://boxd.it/85JHc9,4.5,,"seb, alone</3",2024-12-18,"[18, 27]",en,86,"[98, 98, 152, 33, 48, 77, 17, 20, 34]","['Drama', 'Horror']",English,3,-99.19512648907417,-79.9568522506951
64,2024-12-19,Antiporno,2016.0,https://boxd.it/85MOzF,,,"seb, alone</3",2024-12-18,"[18, 9648]",ja,76,"[250, 233, 221, 246, 202, 171, 181, 33, 34]","['Drama', 'Mystery']",Japanese,2,246.1651229113399,74.98664936884123
65,2024-12-25,Titane,2021.0,https://boxd.it/89Emop,4.5,,"seb, alone</3",2024-12-24,"[18, 53, 27]",fr,108,"[185, 111, 76, 75, 52, 107, 173, 23, 93]","['Drama', 'Thriller', 'Horror']",French,1,-15.685385174264525,41.66486628029613
66,2024-12-25,All of Us Strangers,2023.0,https://boxd.it/89IsDj,3.0,,"seb, parents",2024-12-24,"[10749, 18, 14]",en,105,"[85, 94, 118, 7, 32, 57, 3, 18, 35]","['Romance', 'Drama', 'Fantasy']",English,4,-144.92685596446464,-80.21360239122855
67,2024-12-26,Poor Things,2023.0,https://boxd.it/8aEGFJ,2.5,,"seb, alone</3",2024-12-25,"[878, 10749, 35]",en,141,"[220, 220, 218, 166, 184, 198, 105, 102, 103]","['Science Fiction', 'Romance', 'Comedy']",English,2,217.50276299874275,-28.54223626298703
68,2024-12-28,The Worst Person in the World,2021.0,https://boxd.it/8bW9Ur,3.0,,"seb, alone</3",2024-12-27,"[18, 10749, 35]",no,128,"[171, 161, 159, 105, 98, 77, 51, 45, 39]","['Drama', 'Romance', 'Comedy']",Norwegian,6,10.019093477554975,-9.341975920299792
69,2024-12-28,Dinner in America,2020.0,https://boxd.it/8cbRez,3.5,,"seb, alone</3",2024-12-27,"[10749, 35, 10402]",en,106,"[223, 229, 216, 220, 226, 213, 132, 132, 126]","['Romance', 'Comedy', 'Music']",English,2,283.7768784671194,4.111280927760955
