Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-25,Eraserhead,1977,https://boxd.it/8BxVQh,4,,"scropps, tay",2025-01-24
2025-01-26,Sonic the Hedgehog 3,2024,https://boxd.it/8CkS9n,3,,"scropps, in theaters, tay, ali",2025-01-25
2025-01-29,Secretary,2002,https://boxd.it/8EP0Dj,4,,"scropps, alone</3",2025-01-28
2025-01-30,King Knight,2021,https://boxd.it/8FAqV3,3,,"scropps, audrey",2025-01-30
2025-01-31,Bottoms,2023,https://boxd.it/8G9U8Z,4.5,Yes,"scropps, tay",2025-01-30
2025-02-02,Companion,2025,https://boxd.it/8HIE5z,4,,"scropps, in theaters, paris, tay, daisy, grace",2025-02-01
2025-02-08,But I'm a Cheerleader,1999,https://boxd.it/8LBTFT,5,Yes,"scropps, tay",2025-02-07
2025-02-09,The Lobster,2015,https://boxd.it/8Mqs3P,2,,"scropps, tay",2025-02-08
2025-02-14,They/Them,2022,https://boxd.it/8PtBFB,1,,"scropps, tay, hate watch",2025-02-13
2025-02-15,The Love Witch,2016,https://boxd.it/8Q4kJP,4,Yes,"scropps, tay",2025-02-14
2025-02-17,Or / Or (Hawick),2018,https://boxd.it/8RLS5T,4,,"scropps, alone</3, K",2025-02-17
2025-02-22,"Red, White & Royal Blue",2023,https://boxd.it/8ULhGb,2.5,,"scropps, tay, hate watch",2025-02-21
2025-03-02,Possibly in Michigan,1983,https://boxd.it/8ZUmxh,5,,"scropps, tay",2025-03-01
2025-03-18,Anyone But You,2023,https://boxd.it/9a6dnB,2,,"SD, tay, hate watch",2025-03-17
2025-05-09,Heretic,2024,https://boxd.it/9E2fGR,3,,"alone</3, scropps",2025-05-08
2025-05-11,Sinners,2025,https://boxd.it/9FbZ9r,5,,"scropps, in theaters, paris, aimee, claire",2025-05-10
2025-05-15,Ma,2019,https://boxd.it/9HuCJR,,,"scropps, tay",2025-05-15
2025-05-15,Clickbait: Unfollowed,2024,https://boxd.it/9HuNNv,2,,"scropps, tay",2025-05-15
2025-05-25,Black Mirror: Common People,2025,https://boxd.it/9NpxGn,4,,tay,2025-05-25
2025-05-25,Black Mirror: Plaything,2025,https://boxd.it/9NpBDn,3,,"tay, nyc",2025-05-25
2025-05-25,Black Mirror: Arkangel,2017,https://boxd.it/9NpC65,3,,,2025-05-25
2025-05-25,Black Mirror: Bête Noire,2025,https://boxd.it/9NpCMZ,2.5,,,2025-05-25
2025-05-25,Black Mirror: Hated in the Nation,2016,https://boxd.it/9NpDCh,3,,,2025-05-25
2025-05-25,"Black Mirror: Rachel, Jack and Ashley Too",2019,https://boxd.it/9NpFxX,2,,tay,2025-05-25
2025-05-26,I Still Believe,2020,https://boxd.it/9O61NR,1,,"tay, nyc, hate watch",2025-05-25
2025-05-26,Despicable Me 4,2024,https://boxd.it/9O67XD,2.5,,"tay, nyc",2025-05-25
2025-05-27,The Florida Project,2017,https://boxd.it/9OOJ4f,4.5,,"tay, airplane",2025-05-26
2025-05-29,Get Out,2017,https://boxd.it/9PRaER,5,Yes,"tay, dublin",2025-05-28
2025-05-30,Final Destination,2000,https://boxd.it/9QvM7h,3,,"tay, dublin",2025-05-30
2025-05-31,Final Destination 2,2003,https://boxd.it/9R1lVX,2,,"tay, dublin",2025-05-30
2025-06-01,Pearl,2022,https://boxd.it/9RBtyT,4,Yes,"tay, dublin",2025-05-31
2025-06-02,Uglies,2024,https://boxd.it/9SmhzT,0.5,,"tay, dublin, hate watch",2025-06-01
2025-06-04,The Hunger Games,2012,https://boxd.it/9TAT6H,3,,"tay, dublin",2025-06-03
2025-06-04,The Hunger Games: Catching Fire,2013,https://boxd.it/9TG7TX,3.5,,"tay, dublin",2025-06-04
2025-06-04,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/9TGdY5,2.5,,"tay, dublin",2025-06-04
2025-06-05,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/9Ubb7b,3,,"tay, dublin",2025-06-04
2025-06-06,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/9ULygd,3,,"tay, dublin",2025-06-06
2025-06-06,Daisy: Prophet of the Apocalypse,2023,https://boxd.it/9ULzZ9,5,,"dublin, imma",2025-06-06
2025-06-09,Don't Worry Darling,2022,https://boxd.it/9Wx9wP,2,,"tay, dublin",2025-06-08
2025-06-18,Opus,2025,https://boxd.it/a2dT4r,2,,"airplane, alone</3",2025-06-17
2025-06-24,Flushed Away,2006,https://boxd.it/a6lr6L,3,,"seb, rachel",2025-06-23
2025-06-24,House,1977,https://boxd.it/a6x5xJ,4,,"seb, alone</3",2025-06-23
2025-06-25,Barbarian,2022,https://boxd.it/a7aSZZ,3,,"seb, alone</3",2025-06-24
2025-07-08,Sinners,2025,https://boxd.it/ag0u39,5,Yes,"seb, bee",2025-07-07
2025-07-12,Materialists,2025,https://boxd.it/aiRecj,2,,"seb, in theaters, rachel, bee",2025-07-11
2025-07-13,Superman,2025,https://boxd.it/ajv5Rx,4.5,,"seb, in theaters, james, james's entire family",2025-07-12
2025-07-27,Omni Loop,2024,https://boxd.it/auSMot,2,,airplane,2025-07-27
2025-07-27,Mickey 17,2025,https://boxd.it/auSPkT,4,,airplane,2025-07-27
2025-08-07,Hardcore Fencing,,https://boxd.it/aDed0d,5,,"dublin, imma",2025-08-06
2025-08-07,Mysterious Skin,2004,https://boxd.it/aDrV5d,4.5,,"alone</3, dublin",2025-08-06
2025-08-09,Weapons,2025,https://boxd.it/aEJeY5,4.5,,"dublin, with mom, lighthouse cinema",2025-08-08
2025-08-11,Videodrome,1983,https://boxd.it/aGCf1R,3.5,,"alone</3, dingle",2025-08-11
2025-08-15,Donnie Darko,2001,https://boxd.it/aJv09p,4,,"with mom, dingle",2025-08-14
2025-08-23,Speak No Evil,2024,https://boxd.it/aPjX1J,2.5,,"alone</3, airplane",2025-08-22
2025-08-23,Apartment 7A,2024,https://boxd.it/aPjYBj,1.5,,"alone</3, airplane",2025-08-22
2025-08-23,I Know What You Did Last Summer,1997,https://boxd.it/aPkbBh,4,,"alone</3, airplane",2025-08-22
2025-08-31,The Kissing Booth,2018,https://boxd.it/aVaKff,0.5,,"seb, rachel",2025-08-30
2025-08-31,KPop Demon Hunters,2025,https://boxd.it/aVaUKn,4,,"seb, rachel",2025-08-30
2025-08-31,Challengers,2024,https://boxd.it/aVaW9t,3.5,Yes,"seb, rachel, bee",2025-08-30
2025-09-14,Hamilton,2020,https://boxd.it/b49JWB,,,"in theaters, seb, rachel",2025-09-14
2025-09-14,The Mortal Instruments: City of Bones,2013,https://boxd.it/b49NgJ,2,,"seb, rachel",2025-09-14
2025-09-14,Conclave,2024,https://boxd.it/b49R1X,3.5,,"seb, rachel",2025-09-14
2025-09-15,The Long Walk,2025,https://boxd.it/b4JbXH,4,,"seb, in theaters, james, james's entire family",2025-09-14
2025-09-29,Honey Don't!,2025,https://boxd.it/bd5p3z,2,,"alone</3, sb",2025-09-28
2025-10-12,Helter Skelter,2012,https://boxd.it/blhS2h,4.5,,"alone</3, sb",2025-10-11
2025-10-24,Frankenstein,2025,https://boxd.it/btbm9l,3.5,,"felix, gevher, yaroslav, sb, in theaters",2025-10-23
